Adresse;StimmArt;Bezirk;Bezirksname;WBezArt;Wahlbezirk;Briefwahlbezirk;AghWkr;BunWkr;OstWest;Datum;Zeit;WberIns;WberA1;WberA1p;WberA2;WberA2p;WberA3;WberA3p;Waehler;Waehlerp;Wahlsch;Wahlschp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p;P43;P43p;P44;P44p;P45;P45p;P46;P46p;P47;P47p;P48;P48p;P49;P49p;P50;P50p;P51;P51p;P52;P52p;P53;P53p;P54;P54p;P55;P55p;P56;P56p;P57;P57p;P58;P58p;P59;P59p;P60;P60p;aufn
03W520;2;03;Pankow;W;520;035K;05;76;O;23.02.12;19:44:39;1370;837;61,1;533;38,9;0;0,0;470;34,3;0;0,0;470;100,0;0;0,0;58;12,3;62;13,2;128;27,2;100;21,3;50;10,6;18;3,8;12;2,6;12;2,6;1;0,2;1;0,2;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;10;2,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;2;0,4;2;0,4;0;0,0;1;0,2;2;0,4;2;0,4;7;1,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5A;2;03;Pankow;B;5A;035A;05;76;O;23.02.12;21:24:02;0;0;0,0;0;0,0;0;0,0;762;0,0;762;100,0;757;99,3;5;0,7;139;18,4;209;27,6;86;11,4;107;14,1;101;13,3;28;3,7;11;1,5;24;3,2;2;0,3;7;0,9;2;0,3;3;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,1;0;0,0;0;0,0;2;0,3;1;0,1;0;0,0;0;0,0;13;1,7;0;0,0;0;0,0;1;0,1;0;0,0;0;0,0;9;1,2;0;0,0;0;0,0;1;0,1;3;0,4;0;0,0;7;0,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5B;2;03;Pankow;B;5B;035B;05;76;O;23.02.12;21:03:52;0;0;0,0;0;0,0;0;0,0;999;0,0;999;100,0;992;99,8;2;0,2;174;17,5;337;34,0;115;11,6;144;14,5;97;9,8;43;4,3;15;1,5;25;2,5;2;0,2;6;0,6;0;0,0;6;0,6;0;0,0;1;0,1;0;0,0;0;0,0;0;0,0;4;0,4;0;0,0;0;0,0;1;0,1;1;0,1;0;0,0;0;0,0;8;0,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,2;1;0,1;0;0,0;3;0,3;1;0,1;0;0,0;6;0,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5C;2;03;Pankow;B;5C;035C;05;76;O;23.02.12;21:09:41;0;0;0,0;0;0,0;0;0,0;720;0,0;720;100,0;711;99,4;4;0,6;113;15,9;132;18,6;146;20,5;150;21,1;56;7,9;24;3,4;16;2,3;15;2,1;0;0,0;13;1,8;0;0,0;3;0,4;0;0,0;0;0,0;1;0,1;0;0,0;0;0,0;0;0,0;4;0,6;0;0,0;3;0,4;1;0,1;0;0,0;0;0,0;7;1,0;0;0,0;0;0,0;2;0,3;0;0,0;0;0,0;2;0,3;2;0,3;0;0,0;4;0,6;2;0,3;3;0,4;12;1,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5D;2;03;Pankow;B;5D;035D;05;76;O;23.02.12;23:21:00;0;0;0,0;0;0,0;0;0,0;846;0,0;846;100,0;836;99,4;5;0,6;179;21,4;138;16,5;207;24,8;157;18,8;40;4,8;25;3,0;14;1,7;24;2,9;3;0,4;4;0,5;1;0,1;0;0,0;0;0,0;2;0,2;0;0,0;0;0,0;0;0,0;0;0,0;6;0,7;0;0,0;3;0,4;0;0,0;0;0,0;0;0,0;2;0,2;0;0,0;0;0,0;3;0,4;1;0,1;0;0,0;4;0,5;2;0,2;0;0,0;2;0,2;1;0,1;3;0,4;15;1,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5E;2;03;Pankow;B;5E;035E;05;76;O;23.02.12;23:14:57;0;0;0,0;0;0,0;0;0,0;846;0,0;846;100,0;836;99,4;5;0,6;179;21,4;138;16,5;207;24,8;157;18,8;40;4,8;25;3,0;14;1,7;24;2,9;3;0,4;4;0,5;1;0,1;0;0,0;0;0,0;2;0,2;0;0,0;0;0,0;0;0,0;0;0,0;6;0,7;0;0,0;3;0,4;0;0,0;0;0,0;0;0,0;2;0,2;0;0,0;0;0,0;3;0,4;1;0,1;0;0,0;4;0,5;2;0,2;0;0,0;2;0,2;1;0,1;3;0,4;15;1,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5F;2;03;Pankow;B;5F;035F;05;76;O;23.02.12;22:15:00;0;0;0,0;0;0,0;0;0,0;922;0,0;922;100,0;887;98,8;11;1,2;169;19,1;179;20,2;158;17,8;159;17,9;77;8,7;31;3,5;17;1,9;32;3,6;1;0,1;5;0,6;2;0,2;3;0,3;1;0,1;5;0,6;0;0,0;0;0,0;0;0,0;2;0,2;1;0,1;0;0,0;3;0,3;2;0,2;0;0,0;0;0,0;7;0,8;0;0,0;0;0,0;5;0,6;0;0,0;0;0,0;8;0,9;3;0,3;0;0,0;1;0,1;2;0,2;1;0,1;13;1,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5G;2;03;Pankow;B;5G;035G;05;76;O;23.02.12;21:04:37;0;0;0,0;0;0,0;0;0,0;560;0,0;560;100,0;548;98,9;6;1,1;99;18,1;115;21,0;81;14,8;130;23,7;51;9,3;18;3,3;6;1,1;17;3,1;0;0,0;5;0,9;1;0,2;2;0,4;0;0,0;3;0,5;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,4;2;0,4;0;0,0;0;0,0;2;0,4;0;0,0;0;0,0;4;0,7;0;0,0;0;0,0;3;0,5;0;0,0;0;0,0;0;0,0;0;0,0;2;0,4;4;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5H;2;03;Pankow;B;5H;035H;05;76;O;23.02.12;22:14:12;0;0;0,0;0;0,0;0;0,0;850;0,0;850;100,0;846;99,6;3;0,4;139;16,4;149;17,6;211;24,9;171;20,2;53;6,3;26;3,1;20;2,4;17;2,0;3;0,4;5;0,6;1;0,1;1;0,1;1;0,1;4;0,5;0;0,0;1;0,1;0;0,0;1;0,1;1;0,1;0;0,0;6;0,7;0;0,0;0;0,0;0;0,0;4;0,5;0;0,0;0;0,0;2;0,2;1;0,1;0;0,0;8;0,9;2;0,2;0;0,0;4;0,5;0;0,0;1;0,1;14;1,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5I;2;03;Pankow;B;5I;035I;05;76;O;23.02.12;20:48:22;0;0;0,0;0;0,0;0;0,0;864;0,0;864;100,0;860;99,5;4;0,5;145;16,9;126;14,7;252;29,3;174;20,2;43;5,0;30;3,5;21;2,4;20;2,3;4;0,5;2;0,2;0;0,0;2;0,2;0;0,0;3;0,3;1;0,1;0;0,0;0;0,0;0;0,0;3;0,3;0;0,0;6;0,7;1;0,1;0;0,0;0;0,0;3;0,3;0;0,0;0;0,0;3;0,3;0;0,0;0;0,0;5;0,6;6;0,7;0;0,0;3;0,3;2;0,2;1;0,1;4;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5K;2;03;Pankow;B;5K;035K;05;76;O;23.02.12;21:05:03;0;0;0,0;0;0,0;0;0,0;878;0,0;878;100,0;870;99,9;1;0,1;152;17,5;174;20,0;226;26,0;141;16,2;43;4,9;33;3,8;22;2,5;15;1,7;3;0,3;4;0,5;0;0,0;3;0,3;0;0,0;7;0,8;2;0,2;0;0,0;0;0,0;0;0,0;2;0,2;0;0,0;3;0,3;2;0,2;0;0,0;0;0,0;4;0,5;0;0,0;0;0,0;4;0,5;0;0,0;0;0,0;2;0,2;3;0,3;0;0,0;2;0,2;6;0,7;2;0,2;15;1,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5L;2;03;Pankow;B;5L;035L;05;76;O;23.02.12;22:12:44;0;0;0,0;0;0,0;0;0,0;585;0,0;585;100,0;580;99,3;4;0,7;86;14,8;121;20,9;120;20,7;93;16,0;54;9,3;20;3,4;9;1,6;25;4,3;3;0,5;5;0,9;3;0,5;2;0,3;0;0,0;1;0,2;1;0,2;0;0,0;0;0,0;3;0,5;1;0,2;0;0,0;1;0,2;2;0,3;0;0,0;0;0,0;6;1,0;0;0,0;0;0,0;7;1,2;0;0,0;0;0,0;3;0,5;2;0,3;0;0,0;6;1,0;1;0,2;1;0,2;4;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03B5M;2;03;Pankow;B;5M;035M;05;76;O;23.02.12;21:01:37;0;0;0,0;0;0,0;0;0,0;654;0,0;654;100,0;648;99,7;2;0,3;100;15,4;132;20,4;186;28,7;96;14,8;23;3,5;31;4,8;13;2,0;18;2,8;3;0,5;1;0,2;0;0,0;5;0,8;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,6;3;0,5;0;0,0;0;0,0;4;0,6;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;1;0,2;6;0,9;0;0,0;8;1,2;2;0,3;0;0,0;10;1,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03W600;2;03;Pankow;W;600;036A;06;76;O;23.02.12;20:26:54;1203;749;62,3;454;37,7;0;0,0;441;36,7;0;0,0;440;98,7;6;1,3;64;14,5;52;11,8;150;34,1;77;17,5;27;6,1;14;3,2;13;3,0;15;3,4;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;1;0,2;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;4;0,9;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;2;0,5;2;0,5;0;0,0;4;0,9;1;0,2;3;0,7;4;0,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03W601;2;03;Pankow;W;601;036A;06;76;O;23.02.12;19:25:05;1316;854;64,9;462;35,1;0;0,0;385;29,3;0;0,0;382;99,2;3;0,8;59;15,4;50;13,1;110;28,8;79;20,7;23;6,0;13;3,4;6;1,6;7;1,8;4;1,0;0;0,0;1;0,3;0;0,0;0;0,0;3;0,8;0;0,0;0;0,0;0;0,0;1;0,3;1;0,3;0;0,0;3;0,8;0;0,0;0;0,0;0;0,0;3;0,8;0;0,0;0;0,0;2;0,5;1;0,3;0;0,0;1;0,3;0;0,0;0;0,0;2;0,5;0;0,0;2;0,5;11;2,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03W602;2;03;Pankow;W;602;036D;06;76;O;23.02.12;20:48:12;1503;904;60,1;599;39,9;0;0,0;500;33,3;0;0,0;496;99,4;3;0,6;77;15,5;48;9,7;166;33,5;100;20,2;27;5,4;16;3,2;9;1,8;7;1,4;2;0,4;2;0,4;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;5;1,0;1;0,2;0;0,0;0;0,0;3;0,6;0;0,0;0;0,0;6;1,2;0;0,0;0;0,0;0;0,0;4;0,8;0;0,0;3;0,6;1;0,2;1;0,2;16;3,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
03W603;2;03;Pankow;W;603;036C;06;76;O;23.02.12;20:21:12;1127;748;66,4;379;33,6;0;0,0;489;43,4;0;0,0;489;99,4;3;0,6;69;14,1;62;12,7;166;33,9;109;22,3;27;5,5;14;2,9;8;1,6;8;1,6;2;0,4;3;0,6;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,8;0;0,0;0;0,0;0;0,0;2;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,4;3;0,6;0;0,0;1;0,2;1;0,2;0;0,0;7;1,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
